file,date,fl_class,label
mdi.fd_M_96m_lev182.19960429_000000_TAI.npz,1996-04-29,,NF
mdi.fd_M_96m_lev182.19960501_000000_TAI.npz,1996-05-01,,NF
mdi.fd_M_96m_lev182.19960502_000000_TAI.npz,1996-05-02,,NF
mdi.fd_M_96m_lev182.19960503_000000_TAI.npz,1996-05-03,,NF
mdi.fd_M_96m_lev182.19960508_000000_TAI.npz,1996-05-08,,NF
mdi.fd_M_96m_lev182.19960509_000000_TAI.npz,1996-05-09,,NF
mdi.fd_M_96m_lev182.19960510_000000_TAI.npz,1996-05-10,,NF
mdi.fd_M_96m_lev182.19960512_000000_TAI.npz,1996-05-12,,NF
mdi.fd_M_96m_lev182.19960517_000000_TAI.npz,1996-05-17,,NF
mdi.fd_M_96m_lev182.19960519_000000_TAI.npz,1996-05-19,,NF
mdi.fd_M_96m_lev182.19960522_000000_TAI.npz,1996-05-22,,NF
mdi.fd_M_96m_lev182.19960524_000000_TAI.npz,1996-05-24,,NF
mdi.fd_M_96m_lev182.19960628_000000_TAI.npz,1996-06-28,,NF
mdi.fd_M_96m_lev182.19960629_000000_TAI.npz,1996-06-29,,NF
mdi.fd_M_96m_lev182.19960630_000000_TAI.npz,1996-06-30,,NF
mdi.fd_M_96m_lev182.19960701_000000_TAI.npz,1996-07-01,,NF
mdi.fd_M_96m_lev182.19960702_000000_TAI.npz,1996-07-02,,NF
mdi.fd_M_96m_lev182.19960703_000000_TAI.npz,1996-07-03,,NF
mdi.fd_M_96m_lev182.19960704_000000_TAI.npz,1996-07-04,,NF
mdi.fd_M_96m_lev182.19960705_000000_TAI.npz,1996-07-05,,NF
mdi.fd_M_96m_lev182.19960707_000000_TAI.npz,1996-07-07,,NF
mdi.fd_M_96m_lev182.19960708_000000_TAI.npz,1996-07-08,,NF
mdi.fd_M_96m_lev182.19960709_000000_TAI.npz,1996-07-09,,NF
mdi.fd_M_96m_lev182.19960710_000000_TAI.npz,1996-07-10,,NF
mdi.fd_M_96m_lev182.19960711_000000_TAI.npz,1996-07-11,,NF
mdi.fd_M_96m_lev182.19960712_000000_TAI.npz,1996-07-12,,NF
